,総人口,65歳以上人口,高齢者率,看護師数,介護に携わる人,要介護者数
2009,128035000.0,29006000.0,0.2265474284375366,914952,44849,4802308.0
2010,128057352.0,29245685.0,0.2283795857343669,952723,48563,5028419.0
2011,127830000.0,29748000.0,0.23271532504107018,984233,51868,5254270.0
2012,127589000.0,30793000.0,0.2413452570362649,1015744,55174,5540261.0
2013,127414000.0,31900000.0,0.250364952046086,1051261,59055,5806797.0
2014,127238000.0,32999000.0,0.25934862226693284,1086779,62937,6023070.0
2015,127094745.0,33465441.0,0.2633109732428355,1118088,64825,6188523.0
2016,127044000.0,34590000.0,0.27226787569660904,1149397,66713,6304989.0
2017,126920000.0,35149000.0,0.2769382288055468,1184001,67919,6418582.0
2018,126748000.0,35575000.0,0.2806750402373213,1218606,69126,6577849.0
2019,126555000.0,35886000.0,0.28356050728932086,1249758,74265,6688947.0
2020,126146099.0,35335805.0,0.28011809544740657,1280911,79405,6803578.0
